place.name,place.description,place.prices,place.ratings,place.mentions,place.location,place.region,place.spenttime,place.openingtime
Jacob Ballas Children's Garden,Gardens,NA,4.5,,"Address1 Cluny Road National Parks Board, Singapore 259569 Singapore",Neighborhood: Tanglin,NA,NA
Emirates Lounge,Airport Lounges,NA,4.5,,NA,Neighborhood: Changi,NA,NA
Marina Bay Cruise Centre,Points of Interest & Landmarks,NA,3.5,"royal caribbean,seas,disembarked","Address61 Marina Coastal Drive Marina Bay Cruise Centre Singapore, Singapore 018947 Singapore",Neighborhood: Central Area/City Area,NA,NA
Orchid Garden & Koi Pond,Gardens,NA,4.5,,NA,Neighborhood: Changi,NA,NA
Chinatown Point,Shopping Malls,NA,4.0,"shopping mall,visited chinatown","Address133 New Bridge Road Chinatown Point Metro Station: Chinatown, Singapore 059413 Singapore",Neighborhood: Outram,1-2 hours,NA
St Andrew's Cathedral,Religious Sites • Churches & Cathedrals,NA,4.0,architecture,"Address11 St. Andrew's Road St. Andrew's Cathedral, Singapore 178959 Singapore",Neighborhood: City Hall,< 1 hour,7:30 AM - 6:00 PM
Tangs Plaza,Department Stores,NA,4.0,department store,"Address310 Orchard Road, Singapore 238864 Singapore",Neighborhood: Boulevard,NA,10:30 AM - 10:00 PM
Fountain of Wealth,Points of Interest & Landmarks • Fountains,NA,3.5,"suntec city,feng shui,unity,equality,hindu,symbol,bronze,chinese","Address3 Temasek Boulevard Suntec City Mall Suntec City Mall, Singapore 038983 Singapore",Neighborhood: Central Area/City Area,NA,"10:00 AM - 12:00 PM, 2:00 PM - 4:00 PM, 6:00 PM - 7:30 PM"
Chinese New Year (China Town),Cultural Events,NA,4.5,,"AddressCrot | Trengganu China Town, Singapore 39805 Singapore",Neighborhood: Central Area/City Area,NA,NA
Geylang Serai New Market,Points of Interest & Landmarks • Flea & Street Markets,NA,4.0,,"Address1 Geylang Serai Sri Geylang Serai Geylang Serai Market and Food Centre, Singapore 402001 Singapore",Neighborhood: Geylang East,NA,NA
Cathedral of the Good Shepherd,Churches & Cathedrals,NA,4.5,,"AddressA Queen St Bras Basah MRT Station / City Hall MRT Station, Singapore 188533 Singapore",Neighborhood: Rochor,NA,9:30 AM - 5:30 PM
Pasir Ris Park,Biking Trails • Nature & Wildlife Areas • Parks,NA,4.0,"pied hornbill,mangroves,picnic,herons,nature,expanse,tampines,snakes",NA,Neighborhood: Pasir Ris,NA,NA
Far East Organization Children's Garden,Playgrounds,NA,4.5,sculptures,"Address18 Marina Gardens Drive Gardens By the Bay, Singapore 018953 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
Pagoda Street,Points of Interest & Landmarks,NA,4.0,"chinatown heritage centre,opium den,sri mariamman,dens,shophouse,gopuram,coolie",NA,Neighborhood: Outram,NA,NA
Lazarus Island,Beaches,NA,4.5,"marina south pier,kusu island,short getaway,singapore island,clear water,nice beach,mosquito repellent,boat ride,food stalls,causeway,yacht,fishing,picnic,waves,sunblock,sg,escape,cruise,nature,trees",NA,Neighborhood: Southern Islands,NA,NA
313@somerset,Shopping Malls,NA,4.0,"mall,shop,orchard","Address313 Orchard Road 313 @ Somerset, Singapore 238895 Singapore",Neighborhood: Somerset,NA,NA
Floral Fantasy,Gardens,NA,4.0,"time slot,ride,bay,tickets","Address18 Marina Gardens Drive Gardens By the Bay, Singapore 018953 Singapore",Neighborhood: Central Area/City Area,1-2 hours,9:00 AM - 9:00 PM
SATS Premier Lounge,Airport Lounges,NA,3.5,,NA,Neighborhood: Changi,NA,NA
Former Ford Factory,Military Museums • History Museums,NA,4.5,"war history,air con,detailed account,japanese,museum,exhibits","Address351 Upper Bukit Timah Road, Singapore 588192 Singapore",Neighborhood: Bukit Batok,2-3 hours,NA
"Plaza Premium Lounge (International Departures, Terminal 1)",Airport Lounges,NA,4.0,,"Address1 Airport Boulevard Level 3, Departure/Transit Lounge West, Terminal 1, Singapore Changi Airport, Singapore 819642 Singapore",Neighborhood: Changi,NA,12:00 AM - 11:59 PM
Mint Museum of Toys,Speciality Museums,NA,4.0,,"Address26 Seah Street, Singapore 188382 Singapore",Neighborhood: Central Area/City Area,NA,9:30 AM - 6:30 PM
Tanah Merah Ferry Terminal,Ferries,NA,3.5,,"Address50 Tanah Merah Ferry Road #01-21 Tanah Merah Ferry Terminal, Singapore 498833 Singapore",Neighborhood: Changi,NA,NA
Ngee Ann City,Shopping Malls,NA,4.0,"kinokuniya bookstore,orchard road,food court,louis vuitton,food hall,chinese new year,takashimaya,mall,ion","Address391 Orchard Road Ngee Ann City, Singapore 238872 Singapore",Neighborhood: Boulevard,NA,10:00 AM - 9:30 PM
West Coast Park,Parks,NA,4.0,"kite flying,adventure playground,pasir panjang,la pizzeria,grand lawn,yachts docked,wholesale market,great place for a picnic,bird sanctuary,macdonald,jogging,paths,pyramids,shoreline,lookout,zip,manmade,gems,trees","Address27 West Coast Highway Westway, Singapore 117867 Singapore",Neighborhood: Port,NA,NA
People's Park Complex,Shopping Malls,NA,4.0,"shoes,watches","Address1 Park Road People's Park Complex Shopping Mall, Singapore 059108 Singapore",Neighborhood: Outram,1-2 hours,NA
The Qantas Singapore Lounge,Airport Lounges,NA,4.0,qatar,"Address80 Airport Boulevard Changi Airport Terminal 1 Terminal 1, Singapore 819642 Singapore",Neighborhood: Changi,NA,NA
Bukit Batok Nature Park,Parks,NA,4.0,"war memorial,old quarry,monitor lizards,birds including,water fountain,squirrels,undergrowth,trees,terrapins,allied,fought,track,diversity,ww2","Address26 Bukit Batok East Avenue 2 Hillview Regency, Singapore 659920 Singapore",Neighborhood: Bukit Batok,NA,NA
Admiralty Park,Parks,NA,4.0,"secondary forest,playground,mangroves,cina,paths,nature,squirrels,longest,species","Address31 Riverside Road, Singapore 739087 Singapore",Neighborhood: Greenwood Park,NA,NA
NUS Baba House,Historic Sites • Architectural Buildings,NA,4.5,"guide,culture,stories","Address157 Neil Road, Singapore 088883 Singapore",Neighborhood: Bukit Merah,< 1 hour,10:00 AM - 11:00 AM
Singapore Cricket Club,Sports Complexes,NA,4.0,"chicken club,padang restaurant,business lunch","AddressA Connaught Drive Singapore Cricket Club, Singapore 179681 Singapore",Neighborhood: Marina Bay,NA,NA
Lian Shan Shuang Lin Temple,Religious Sites,NA,4.5,,"Address184E Jalan Toa Payoh Siang Lim Sian LI Buddhist Temple, Singapore 319941 Singapore",Neighborhood: Toa Payoh,NA,NA
St John's Island,Nature & Wildlife Areas,NA,4.0,"kusu island,marina south pier,clear water,day trip,bustling city life,follow the path,bring lots of water,mrt station,ferry,lazarus,picnic,causeway,shelter","Address12 St. John's Island, Singapore 098600 Singapore",Neighborhood: Pasir Ris,NA,NA
HarbourFront Centre,Shopping Malls,NA,4.0,,"Address1 Maritime Square Harbourfront Centre, Singapore 099253 Singapore",Neighborhood: Bukit Merah,2-3 hours,NA
Air Force Museum,Military Museums,NA,4.0,,"Address400 Airport Road Paya Lebar Air Base, Singapore 534234 Singapore",Neighborhood: Paya Lebar,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Funan,Shopping Malls,NA,3.5,"rock climbing,cycling track,large mall,lots of shops,gadgets,rebuilding,kopitiam,cinema,concept","Address107 North Bridge Road, Singapore 179105 Singapore",Neighborhood: City Hall,NA,10:00 AM - 10:00 PM
Resorts World Sentosa Casino,Casinos,NA,4.0,,"Address8 Sentosa Gateway Resorts World Sentosa, Singapore 098269 Singapore",Neighborhood: Sentosa Island,NA,NA
Suntec Singapore Convention & Exhibition Centre,Convention Centers,NA,4.0,,"Address1 Raffles Boulevard Singapore Int'l Convention & Exhibition Ctr, Singapore 039593 Singapore",Neighborhood: Marina Centre,NA,8:00 AM - 6:00 PM
Telok Ayer Street,Points of Interest & Landmarks,NA,4.0,,NA,Neighborhood: Central Area/City Area,NA,NA
Bishan Ang Mo Kio Park,Parks,NA,4.5,"kallang river,upper thomson road,tai chi,kite flying,easily accessible by mrt,flora and fauna,jog,playground,pierce,paths,plains,amk,fishes,boating,greenery,taiji,therapeutic,squirrels,reservoir,garden,admission,nature",NA,Neighborhood: Bishan,NA,NA
HSBC Rain Vortex,Waterfalls,NA,4.5,"changi airport,waterfall","Address78 Airport Boulevard, Singapore 819666 Singapore",Neighborhood: Changi,More than 3 hours,8:00 AM - 11:30 PM
Dnata Lounge,Airport Lounges,NA,3.5,,NA,Neighborhood: Changi,NA,NA
Victoria Theatre & Victoria Concert Hall,Points of Interest & Landmarks • Theaters,NA,4.0,light,"Address9 Empress Place Victoria Theatre, Singapore 179556 Singapore",Neighborhood: City Hall,1-2 hours,NA
Red Dot Design Museum,Speciality Museums • Points of Interest & Landmarks,NA,3.5,,"Address11 Marina Boulevard Red Dot Design Museum Red Dot Design Museum, Singapore 018940 Singapore",Neighborhood: Marina Bay,1-2 hours,12:00 PM - 6:00 PM
Isetan Scotts,Department Stores,NA,4.0,"local food,cosmetics","Address350 Orchard Road Shaw House, Singapore 238868 Singapore",Neighborhood: Boulevard,NA,10:00 AM - 9:30 PM
Central Fire Station,Architectural Buildings • Government Buildings,NA,4.0,,"Address62 Hill Street Central Fire Station, Singapore 179367 Singapore",Neighborhood: Museum,NA,NA
Changi Point Boardwalk,Piers & Boardwalks,NA,4.0,"board walk,sailing club,civil service,pulau ubin,boardwalk starts,high tide,peaceful walk,loyang,coastline,skiing,boats,meander,kelong,shelter,hawker,parts","Address51 Lorong Bekukong Changi Point Ferry Terminal Changi East, Singapore 499172 Singapore",Neighborhood: Changi,NA,NA
ION Sky,Lookouts,NA,4.0,"jurassic world,coaster","Address2 Orchard Turn Level 4 Ion Orchard Level 55/56, Singapore 238801 Singapore",Neighborhood: Boulevard,< 1 hour,2:00 PM - 6:00 PM
Marina Bay Singapore Countdown,Seasonal Fireworks,NA,4.5,,"Address11 Marina Boulevard Red Dot Design Museum, Singapore 018940 Singapore",Neighborhood: Central,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Singapore Philatelic Museum,Speciality Museums,NA,4.0,,"Address23B Coleman Street Singapore Philatelic Museum, Singapore 179807 Singapore",Neighborhood: Museum,NA,NA
River Hongbao,Cultural Events,NA,4.5,"enjoyed taking pictures,crowd control,performance,mesmerized,bay","Address18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",Neighborhood: Central Area/City Area,2-3 hours,2:00 PM - 10:00 PM
Sands Expo and Convention Center,Architectural Buildings • Convention Centers,NA,4.5,marina bay sands,"Address10 Bayfront Avenue Marina Bay Sands Marina Bay Sands, Singapore 018956 Singapore",Neighborhood: Marina Bay,NA,NA
i Light Marina Bay,Cultural Events,NA,4.5,,NA,Neighborhood: Central Area/City Area,NA,7:30 PM - 11:00 PM
House of Tan Teng Niah,Points of Interest & Landmarks • Architectural Buildings,NA,4.0,colorful,"Address37 Kerbau Road Gholia's Village Gholia’s Village, Singapore 219168 Singapore",Neighborhood: Little India,NA,NA
Sri Krishnan Temple,Religious Sites,NA,4.0,,"Address152 Waterloo Street Krishnan Temple, Singapore 187961 Singapore",Neighborhood: Rochor,NA,NA
Cavenagh Bridge,Bridges,NA,4.0,"singapore river,original form,british east india company,governor,oldest,heritage",NA,Neighborhood: City Hall,NA,NA
Nex,Shopping Malls,NA,4.0,,"Address23 Serangoon Central Nex, Singapore 556083 Singapore",Neighborhood: Serangoon,NA,10:30 AM - 10:30 PM
Sri Srinivasa Perumal Temple,Religious Sites,NA,4.0,,"Address397 Serangoon Road, Singapore 218123 Singapore",Neighborhood: Lavender,NA,"6:00 AM - 12:00 PM, 6:00 PM - 9:00 PM"
Liang Court,Shopping Malls,NA,4.0,,"Address177 River Valley Road Liang Court, Singapore 179030 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
Singapore Art Museum,Art Museums,NA,4.0,"artists,catholic,school,heritage","Address61 Stamford Road #02-02 Stamford Court, Singapore 178892 Singapore",Neighborhood: Central Area/City Area,< 1 hour,NA
Surviving the Japanese Occupation: War and Its Legacies,Military Museums,NA,4.5,ford factory,"Address351 Upper Bukit Timah Road, Singapore 588192 Singapore",Neighborhood: Bukit Batok,2-3 hours,9:00 AM - 5:30 PM
Riverside Point,Shopping Malls,NA,4.5,"river cruise,clark quay,brewerkz","Address30 Merchant Road Riverside Point, Singapore 058282 Singapore",Neighborhood: Central Area/City Area,2-3 hours,NA
Malay Heritage Centre,History Museums,from $5.19,4.0,"cultural background,outing","Address85 Sultan Gate, Singapore 198501 Singapore",Neighborhood: Rochor,NA,10:00 AM - 6:00 PM
Bollywood Veggies,Farms,NA,4.0,"nasi lemak,chicken curry,farm tour,city life,otah,we enjoyed walking,concrete jungle,during weekends,natural environment,warriors,plants,kampong,humour,paths,school,respite,peanuts","Address100 Neo Tiew Road, Singapore 719026 Singapore",Neighborhood: Lim Chu Kang,NA,9:30 AM - 6:30 PM
Coney Island Park,Nature & Wildlife Areas • Parks,NA,4.0,"east entrance,main path,settlement,serangoon,waves,monkeys,nature,greenery,exploration,stroll",NA,Neighborhood: Punggol,More than 3 hours,NA
Enchanted Garden,Gardens,NA,4.5,transit,NA,Neighborhood: Changi,NA,NA
Bedok Reservoir Park,Parks,NA,4.0,"park connector,nature walk,trees,squirrels",NA,Neighborhood: Tampines,More than 3 hours,NA
Great World,Shopping Malls,NA,4.0,"cold storage,shopping mall,tenants,cineplex","Address1 Kim Seng Promenade Great World City, Singapore 237994 Singapore",Neighborhood: Central Area/City Area,NA,10:00 AM - 10:00 PM
Temple Street,Points of Interest & Landmarks • Historic Walking Areas,NA,4.0,"food stalls,murals,chinatown",NA,Neighborhood: Outram,1-2 hours,NA
Singapore Night Festival,Cultural Events,NA,4.5,,"AddressBras Basah Bugis, Singapore 39805 Singapore",Neighborhood: Museum,NA,NA
The NEWater Visitor Centre,Points of Interest & Landmarks,NA,4.5,,"Address20 Koh Sek Lim Road, Singapore 486593 Singapore",Neighborhood: Tampines,NA,NA
Lower Peirce Reservoir Park,Bodies of Water • Nature & Wildlife Areas • Dams,NA,4.5,"rubber trees,secondary forest,evening walk,pierce,trail,playground,visitors","Address16 Old Upper Thomson Road Sembawang Hills Estate, Singapore 576214 Singapore",Neighborhood: Ang Mo Kio,< 1 hour,NA
Jurong East Swimming Complex,Water Parks,NA,4.0,,"Address21 Jurong East Street 31, Singapore 609517 Singapore",Neighborhood: Jurong East,2-3 hours,NA
Sembawang Hot Spring,Hot Springs & Geysers,NA,4.0,"spring park,nearest carpark,eating house,egg cooking station,pang,sulphur,blk,chong,footbath,shelter,plants,track,collection",NA,Neighborhood: Mandai East,NA,NA
Punggol Waterway Park,Biking Trails • Parks • Jogging Paths & Tracks,NA,4.0,parts,"Address10 Sentul Crescent Road, Singapore 828851 Singapore",Neighborhood: Punggol Town Centre,1-2 hours,NA
Orchard Central,Shopping Malls,NA,4.0,"mall connected,mandarin gallery,somerset","Address181 Orchard Road Orchard Central, Singapore 238896 Singapore",Neighborhood: Somerset,NA,11:00 AM - 10:00 PM
Tiong Bahru Estate,Neighborhoods • Architectural Buildings,NA,4.0,"heritage trail,public housing,food centre,residential estate,monkey god,pre war,curry rice,self guided,f b,poh,architecture,yew,stalls,blk,yip,exploration,temple,chinatown",NA,Neighborhood: Bukit Merah,NA,NA
Singapore Indoor Stadium,Arenas & Stadiums,NA,4.0,,"Address2 Stadium Walk Kallang Indoor Stadium, Singapore 397691 Singapore",Neighborhood: Tanjong Rhu,NA,9:00 AM - 6:00 PM
Singapore Musical Box Museum,Speciality Museums,NA,4.5,"thian hock keng temple,musical boxes,guided tour,instruments,peranakan,intricate,winding,exhibits,visitors,stories","Address168 Telok Ayer Street, Singapore 068619 Singapore",Neighborhood: Central Area/City Area,2-3 hours,NA
Gillman Barracks,Points of Interest & Landmarks,NA,4.0,on display,"Address9 Lock Road Gillman Barracks, Singapore 108937 Singapore",Neighborhood: Telok Blangah Drive,NA,12:00 PM - 7:00 PM
Church of St. Alphonsus,Churches & Cathedrals,NA,4.5,,"Address300 Thomson Road Novena Church, Singapore 307653 Singapore",Neighborhood: Novena,< 1 hour,NA
Jubilee Bridge,Bridges,NA,4.0,,NA,Neighborhood: Central Area/City Area,< 1 hour,NA
The Animal Resort,Zoos,NA,4.0,feeding the animals,"AddressT81, Seletar West Farmway, Seletar, North, Singapore 798061 Singapore",Neighborhood: Sengkang,NA,NA
Parkview Museum,Art Museums,NA,4.0,,"Address600 North Bridge Road Parkview Square Parkview Square Level 3, Singapore 188778 Singapore",Neighborhood: Central Area/City Area,< 1 hour,1:00 PM - 7:00 PM
Sun Yat Sen Nanyang Memorial Hall,Historic Sites,NA,4.5,"balestier road,zhongshan park,burmese buddhist temple,heritage trail,buddha statue,colonial style villa,tau sar,ramada hotel,permanent residents,special exhibition,free admission,dynasty,revolution,museum,figures,history,bronze,buffs,loong,architect,leader,era,stage,lions","Address12 Tai Gin Road Sun Yat Sen Nanyang Memorial Hall, Singapore 327874 Singapore",Neighborhood: Novena,NA,NA
Christmas Wonderland at Gardens By The Bay,Cultural Events,NA,3.0,bay,"Address18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",Neighborhood: Central Area/City Area,NA,NA
Thow Kwang Pottery Jungle and Dragon Kiln,Points of Interest & Landmarks,NA,4.5,"eco garden,worth a visit,jurong,boon","Address85 Lorong Tawas Dragon Kiln Village, Singapore 639823 Singapore",Neighborhood: Western Water Catchment,1-2 hours,9:00 AM - 5:00 PM
Orchard Gateway,Shopping Malls,NA,3.5,shopping mall,"Address277 Orchard Road Orchard Gateway, Singapore 238858 Singapore",Neighborhood: Somerset,NA,NA
